日期,时间,开盘,最高,最低,收盘,成交量,成交额,datetime
2024-12-16,20241216093500000,219.81350286,219.81350286,218.57356458,218.79990252,239600,53349536.0,2024-12-16 09:35:00
2024-12-16,20241216094000000,218.79990252,218.83926564,216.82190574,216.85142808,315700,69849288.0,2024-12-16 09:40:00
2024-12-16,20241216094500000,216.85142808,217.32378552,215.99528022,217.1860146,298300,65671360.0,2024-12-16 09:45:00
2024-12-16,20241216095000000,217.1368107,217.36314864,216.8415873,217.0876068,122500,27002960.0,2024-12-16 09:50:00
2024-12-16,20241216095500000,217.27458162,217.3828302,217.0384029,217.17617382,50800,11213392.0,2024-12-16 09:55:00
2024-12-16,20241216100000000,217.24505928,217.6780536,217.24505928,217.24505928,60100,13279872.0,2024-12-16 10:00:00
2024-12-16,20241216100500000,217.14665148,217.14665148,216.5955678,216.65461248,72700,16014960.0,2024-12-16 10:05:00
2024-12-16,20241216101000000,216.77270184,216.95967666,216.49716,216.49716,85200,18758400.0,2024-12-16 10:10:00
2024-12-16,20241216101500000,216.46763766,216.61524936,216.3003444,216.35938908,80900,17804096.0,2024-12-16 10:15:00
2024-12-16,20241216102000000,216.3987522,216.6939756,216.35938908,216.48731922,50400,11085344.0,2024-12-16 10:20:00
2024-12-16,20241216102500000,216.55620468,216.5955678,216.005121,216.02480256,87100,19146784.0,2024-12-16 10:25:00
2024-12-16,20241216103000000,216.01496178,216.21177738,215.83782774,215.88703164,148400,32566592.0,2024-12-16 10:30:00
2024-12-16,20241216103500000,215.88703164,216.28066284,215.83782774,216.04448412,63000,13823904.0,2024-12-16 10:35:00
2024-12-16,20241216104000000,216.04448412,216.24129972,215.8083054,215.8575093,56300,12355584.0,2024-12-16 10:40:00
2024-12-16,20241216104500000,215.8575093,216.17241426,215.8575093,215.86735008,43400,9524928.0,2024-12-16 10:45:00
2024-12-16,20241216105000000,215.88703164,216.18225504,215.87719086,215.91655398,46500,10208128.0,2024-12-16 10:50:00
2024-12-16,20241216105500000,215.92639476,216.02480256,215.8575093,215.91655398,39900,8755712.0,2024-12-16 10:55:00
2024-12-16,20241216110000000,215.91655398,215.97559866,215.8083054,215.8083054,68700,15069280.0,2024-12-16 11:00:00
2024-12-16,20241216110500000,215.79846462,215.99528022,215.71973838,215.71973838,43900,9627488.0,2024-12-16 11:05:00
2024-12-16,20241216111000000,215.71973838,215.87719086,215.58196746,215.58196746,65500,14355808.0,2024-12-16 11:10:00
2024-12-16,20241216111500000,215.59180824,215.9067132,215.08008768,215.08008768,139800,30605824.0,2024-12-16 11:15:00
2024-12-16,20241216112000000,215.06040612,215.43435576,214.8242274,214.94231676,89600,19583904.0,2024-12-16 11:20:00
2024-12-16,20241216112500000,214.84390896,215.0702469,214.61757102,214.7258196,75500,16480832.0,2024-12-16 11:25:00
2024-12-16,20241216113000000,214.7258196,215.35562952,214.7258196,214.8242274,56500,12325984.0,2024-12-16 11:30:00
2024-12-16,20241216130500000,214.8242274,214.96199832,214.30266606,214.34202918,192000,41866458.0,2024-12-16 13:05:00
2024-12-16,20241216131000000,214.35186996,214.78486428,214.3321884,214.5782079,59500,12971718.0,2024-12-16 13:10:00
2024-12-16,20241216131500000,214.55852634,214.71597882,214.3321884,214.3321884,69700,15190527.0,2024-12-16 13:15:00
2024-12-16,20241216132000000,214.49948166,214.5782079,214.3321884,214.35186996,65400,14250048.0,2024-12-16 13:20:00
2024-12-16,20241216132500000,214.35186996,214.41091464,214.036965,214.41091464,78700,17129595.0,2024-12-16 13:25:00
2024-12-16,20241216133000000,214.41091464,214.41091464,214.01728344,214.09600968,45600,9923974.0,2024-12-16 13:30:00
2024-12-16,20241216133500000,214.1353728,214.6274118,214.12553202,214.3321884,50400,10978688.0,2024-12-16 13:35:00
2024-12-16,20241216134000000,214.36171074,214.49948166,214.04680578,214.19441748,39500,8599550.0,2024-12-16 13:40:00
2024-12-16,20241216134500000,214.12553202,214.29282528,214.01728344,214.1353728,58800,12792706.0,2024-12-16 13:45:00
2024-12-16,20241216135000000,214.14521358,214.42075542,214.0861689,214.34202918,50800,11061821.0,2024-12-16 13:50:00
2024-12-16,20241216135500000,214.34202918,214.99152066,214.21409904,214.99152066,59300,12930121.0,2024-12-16 13:55:00
2024-12-16,20241216140000000,215.00136144,215.00136144,214.7258196,214.8242274,46600,10173504.0,2024-12-16 14:00:00
2024-12-16,20241216140500000,214.85374974,215.021043,214.46995932,214.59788946,44800,9776114.0,2024-12-16 14:05:00
2024-12-16,20241216141000000,214.53884478,214.64709336,214.19441748,214.19441748,53600,11670728.0,2024-12-16 14:10:00
2024-12-16,20241216141500000,214.19441748,214.36171074,214.05664656,214.16489514,48800,10622200.0,2024-12-16 14:15:00
2024-12-16,20241216142000000,214.16489514,214.529004,214.12553202,214.51916322,35100,7645382.0,2024-12-16 14:20:00
2024-12-16,20241216142500000,214.51916322,214.6766157,214.30266606,214.46995932,53800,11722497.0,2024-12-16 14:25:00
2024-12-16,20241216143000000,214.51916322,214.529004,214.36171074,214.3813923,35400,7712000.0,2024-12-16 14:30:00
2024-12-16,20241216143500000,214.3813923,214.529004,214.11569124,214.4305962,78700,17140481.0,2024-12-16 14:35:00
2024-12-16,20241216144000000,214.4305962,214.529004,214.36171074,214.51916322,52000,11335867.0,2024-12-16 14:40:00
2024-12-16,20241216144500000,214.529004,214.9226352,214.529004,214.7750235,46600,10165121.0,2024-12-16 14:45:00
2024-12-16,20241216145000000,214.75534194,214.84390896,214.53884478,214.60773024,57900,12633674.0,2024-12-16 14:50:00
2024-12-16,20241216145500000,214.60773024,215.2178586,214.60773024,215.15881392,66700,14575158.0,2024-12-16 14:55:00
2024-12-16,20241216150000000,215.13913236,215.24738094,214.95215754,214.95215754,51800,11319880.0,2024-12-16 15:00:00
2024-12-17,20241217093500000,214.4798001,215.3162664,214.40107386,215.3162664,128700,28094460.0,2024-12-17 09:35:00
2024-12-17,20241217094000000,215.30642562,215.33594796,214.30266606,214.41091464,78100,17038196.0,2024-12-17 09:40:00
2024-12-17,20241217094500000,214.42075542,215.3162664,214.41091464,215.03088378,96200,20998476.0,2024-12-17 09:45:00
2024-12-17,20241217095000000,215.021043,215.27690328,214.6274118,214.65693414,50100,10945300.0,2024-12-17 09:50:00
2024-12-17,20241217095500000,214.8242274,215.7591015,214.69629726,215.7591015,79100,17289984.0,2024-12-17 09:55:00
2024-12-17,20241217100000000,215.7098976,215.7098976,215.17849548,215.3654703,57400,12567056.0,2024-12-17 10:00:00
2024-12-17,20241217100500000,215.4638781,216.005121,215.4638781,215.6114898,82200,18024416.0,2024-12-17 10:05:00
2024-12-17,20241217101000000,215.76894228,216.60540858,215.74926072,216.48731922,104000,22852160.0,2024-12-17 10:10:00
2024-12-17,20241217101500000,216.48731922,216.60540858,216.1035288,216.11336958,85600,18829104.0,2024-12-17 10:15:00
2024-12-17,20241217102000000,216.3003444,216.80222418,216.3003444,216.68413482,92800,20421792.0,2024-12-17 10:20:00
2024-12-17,20241217102500000,216.7923834,217.02856212,216.3003444,216.3003444,82100,18092944.0,2024-12-17 10:25:00
2024-12-17,20241217103000000,216.3987522,216.3987522,215.7098976,215.84766852,50900,11176448.0,2024-12-17 10:30:00
2024-12-17,20241217103500000,215.84766852,215.99528022,215.513082,215.513082,33600,7366112.0,2024-12-17 10:35:00
2024-12-17,20241217104000000,215.513082,215.53276356,215.2178586,215.2178586,38500,8428416.0,2024-12-17 10:40:00
2024-12-17,20241217104500000,215.2178586,215.43435576,215.00136144,215.00136144,51300,11217280.0,2024-12-17 10:45:00
2024-12-17,20241217105000000,215.00136144,215.49340044,214.84390896,215.4146742,35200,7697472.0,2024-12-17 10:50:00
2024-12-17,20241217105500000,215.4638781,215.513082,215.1686547,215.1686547,24500,5363184.0,2024-12-17 10:55:00
2024-12-17,20241217110000000,215.1686547,215.37531108,214.529004,215.23754016,69100,15097760.0,2024-12-17 11:00:00
2024-12-17,20241217110500000,215.23754016,215.7098976,215.021043,215.513082,33300,7290464.0,2024-12-17 11:05:00
2024-12-17,20241217111000000,215.513082,215.57212668,214.9226352,214.9226352,32600,7127360.0,2024-12-17 11:10:00
2024-12-17,20241217111500000,215.08008768,215.20801782,214.53884478,214.64709336,36300,7923328.0,2024-12-17 11:15:00
2024-12-17,20241217112000000,214.63725258,215.09976924,214.529004,214.6766157,45000,9816352.0,2024-12-17 11:20:00
2024-12-17,20241217112500000,214.88327208,214.88327208,214.529004,214.6274118,33200,7240960.0,2024-12-17 11:25:00
2024-12-17,20241217113000000,214.529004,214.6274118,214.3321884,214.42075542,40800,8899968.0,2024-12-17 11:30:00
2024-12-17,20241217130500000,214.42075542,214.81438662,214.2337806,214.39123308,46200,10070016.0,2024-12-17 13:05:00
