日期,开盘,最高,最低,收盘,成交量,成交额,换手率,涨跌幅
2020-01-02,993.955248,1008.98793996,983.381256,995.71758,14809916,16696837095.0,1.1789,-4.4801
2020-01-03,984.262422,984.262422,948.9276654,950.39040096,13031878,14266380596.0,1.0374,-4.5522
2020-01-06,943.60542276,963.0263214,940.4684718,949.88813634,6341478,6853917601.0,0.5048,-0.0529
2020-01-07,949.456365,968.401434,948.4870824,964.46262198,4785359,5220697068.0,0.3809,1.5343
2020-01-08,956.1091683,965.317353,953.93268828,958.83197124,2500825,2720371915.0,0.1991,-0.5838
2020-01-09,963.995604,974.03208474,960.47094,971.6617482,3740587,4110949814.0,0.2978,1.3381
2020-01-10,977.213094,983.37244434,971.485515,980.297175,3597587,3993457118.0,0.2864,0.8887
2020-01-13,980.297175,995.0126472,979.856592,990.66849882,3851575,4325687959.0,0.3066,1.058
2020-01-14,990.6068172,991.21482174,971.926098,975.8032284,3514465,3916300790.0,0.2798,-1.5005
2020-01-15,977.22190566,988.3157856,973.68843,979.97114358,2602911,2895603674.0,0.2072,0.4271
2020-01-16,985.91020242,985.91020242,971.55600828,975.450762,2319165,2571593141.0,0.1846,-0.4613
2020-01-17,978.09426,980.54390148,970.17257766,975.891345,2347275,2599645144.0,0.1869,0.0452
2020-01-20,979.73322876,979.73322876,953.421612,961.352106,3539130,3858246844.0,0.2817,-1.4898
2020-01-21,952.540446,957.827442,944.8743018,947.5177998,3287405,3542441308.0,0.2617,-1.439
2020-01-22,942.84762,955.183944,929.96497308,947.70284466,3620004,3875275065.0,0.2882,0.0195
2020-01-23,948.134616,948.134616,913.769142,927.6915648,5346843,5638945742.0,0.4256,-2.1116
2020-02-03,867.94851,890.57685288,863.54268,884.62017072,12344288,12314991759.0,0.9827,-4.6429
2020-02-04,894.38349,931.392462,890.86763766,914.65911966,6262418,6490469043.0,0.4985,3.3957
2020-02-05,925.2243,928.748964,910.27091298,925.21548834,4741824,4956355235.0,0.3775,1.1541
2020-02-06,933.53369538,947.25345,927.00425532,943.728786,4717121,5011246407.0,0.3755,2.001
2020-02-07,942.85643166,949.015782,934.93474932,948.134616,3127871,3348894576.0,0.249,0.4669
2020-02-10,935.798292,946.9009836,931.5686952,939.75472734,3053342,3251908506.0,0.2431,-0.8838
2020-02-11,936.679458,969.00062688,936.5032248,967.520268,4791793,5222918915.0,0.3815,2.9546
2020-02-12,959.589774,968.21638914,956.84053608,966.87701682,2812543,3072293973.0,0.2239,-0.0665
2020-02-13,967.520268,981.52199574,958.71741966,961.352106,3035736,3335277425.0,0.2417,-0.5714
2020-02-14,960.8674647,963.56383266,954.39970626,958.708608,2328760,2534568401.0,0.1854,-0.275
2020-02-17,953.862195,965.92535754,953.7740784,963.83699412,2702822,2946182657.0,0.2152,0.5349
2020-02-18,960.47975166,966.53336208,954.302778,955.183944,2666496,2897729692.0,0.2123,-0.8978
2020-02-19,956.06511,970.604349,949.896948,966.198519,3705147,4052365602.0,0.2949,1.1531
2020-02-20,966.3747522,990.430584,965.23804806,985.143588,4680262,5220660940.0,0.3726,1.9608
2020-02-21,979.38076236,990.02524764,978.10307166,980.63201808,2894008,3225337160.0,0.2304,-0.458
2020-02-24,974.129013,978.09426,956.505693,957.98605188,3865036,4221857466.0,0.3077,-2.3093
2020-02-25,949.896948,953.50091694,940.97954808,947.08602846,3838562,4127432130.0,0.3056,-1.1378
2020-02-26,935.798292,955.183944,929.63013,946.1079342,4356097,4663278433.0,0.3468,-0.1033
2020-02-27,948.134616,964.86795834,948.134616,958.17109674,3449829,3758783810.0,0.2746,1.275
2020-02-28,943.1119698,953.421612,925.19786502,931.392462,4994657,5307929213.0,0.3976,-2.7948
2020-03-02,925.32122826,966.2425773,925.23311166,956.95508766,4766304,5154329159.0,0.3794,2.7446
2020-03-03,967.520268,985.91901408,967.520268,980.737758,5025015,5585227657.0,0.4,2.4852
2020-03-04,991.31175,1003.648074,983.59273584,994.76592072,5379299,6080149243.0,0.4282,1.4304
2020-03-05,1001.27773746,1035.36123834,996.21103296,1031.845386,6242645,7210485104.0,0.4969,3.7275
2020-03-06,1024.796058,1036.251216,1015.08560868,1018.187313,3064100,3553622358.0,0.2439,-1.3237
2020-03-09,1000.12341,1000.12341,979.24858746,981.62773566,4340409,4865288500.0,0.3455,-3.5907
2020-03-10,980.737758,1029.201888,980.737758,1018.627896,5806293,6635936156.0,0.4622,3.7693
2020-03-11,1018.187313,1030.59413028,1005.410406,1020.84843432,3554757,4124607952.0,0.283,0.218
2020-03-12,1005.60426252,1015.984398,991.3998666,1003.207491,3663063,4172606105.0,0.2916,-1.7281
2020-03-13,960.47094,994.81879068,951.65928,979.88302698,7588531,8348496480.0,0.6041,-2.325
2020-03-16,972.78964068,976.2878697,935.798292,940.204122,5123254,5548946745.0,0.4078,-4.0494
2020-03-17,929.63013,949.896948,890.96456592,920.9065866,7935912,8277472787.0,0.6317,-2.0525
2020-03-18,916.41264,934.03596,888.20651634,888.20651634,7345988,7582762547.0,0.5848,-3.5509
2020-03-19,875.87019234,894.38349,846.0074766,877.641336,10226507,10075880470.0,0.8141,-1.1895
2020-03-20,890.858826,919.056138,890.858826,912.25353648,6013919,6169094444.0,0.4787,3.9438
2020-03-23,881.166,912.25353648,873.69371232,897.908154,4847210,4918121944.0,0.3859,-1.5725
